ID	GeoGroup	BerryColour
Zante blanc (Collection Ravaz)	BALK	B
Perle de Csaba	BALK	B
Camaralet	WCEUR	B
Usakheluri	EMCA	N
Vigne sauvage faux Tighzirt 1	MAGH	nd
Ferlongo	IBER	N
Müsküle	EMCA	B
Mskhali	EMCA	B
Raboso piave	ITAP	N
Bezoul el Aouda	MAGH	N-Rg
Rassegui	MAGH	B
Serna inta	NEWO	Rs
Arna-guirna	EMCA	B
Ancellotta	ITAP	N
Assali al arous	EMCA	B
Muscat Ottonel	WCEUR	B
Vigne sauvage faux Mouchouses 1	WCEUR	nd
Ag isioum	RUUK	B
Chaptal	WCEUR	B
Catarratto bianco	ITAP	B
Albaranzeuli bianco	ITAP	B
Ichkimar	MFEAS	Rg
Basicata	BALK	B
Chaouch blanc	EMCA	B
Dimiat	BALK	B
Ribote rose	IBER	Rs
Attiki	BALK	N
Marselan	WCEUR	N
Claverie coulard	WCEUR	B
Yaï isioum rosovy	RUUK	Rs
Khikhvi femelle	RUUK	B
Kolliniatiko	BALK	Rg
Alvarinho	IBER	B
Dinka zöld	BALK	B
Castañal	IBER	N
Semillon	WCEUR	B
Altesse	WCEUR	B
Petit Verdot	WCEUR	N
Mauzac	WCEUR	B
Souzao faux	IBER	N
Granatovyi	RUUK	N
Assyrtico	BALK	B
Beerheller	nd	B
Gelbhölzer blau	WCEUR	N
Moscita rosa	ITAP	N
Olber weiss	WCEUR	B
Olasz Korai	BALK	N
Palestina Oberlin I	WCEUR	B
Javor weiss	BALK	B
Heunish rot n°1	WCEUR	Rg
Zimmettraube grau rauchfarbig	nd	G
Geisdutte blau	nd	N
Malvoisie de Lasseraz	WCEUR	B
Hängling spänischer	WCEUR	N
Müller-Thurgau	WCEUR	B
Battraube	WCEUR	N
Elbling	WCEUR	B
Panse précoce	WCEUR	B
Blatterle	ITAP	B
Hoertling weiss	nd	B
Bakator piros	BALK	Rg
Shabash	RUUK	B
Razakisi antep	EMCA	B
Madeleine angevine	WCEUR	B
Oeillade noire	WCEUR	N
Tebrizi (Collection Germany)	EMCA	B
Braghina	BALK	Rs
Servant	WCEUR	B
Schirastraube	nd	B
Uva di Troia	ITAP	N
Zilavka	BALK	B
Heunish rotgestreift	WCEUR	B
Kokurdes belyi	RUUK	B
Kerner	WCEUR	B
Gros Manseng	WCEUR	B
Tchaïnak	RUUK	B
Calabre	ITAP	B
Halholyag	RUUK	B
Izsaki sarfeher	BALK	B
Bourboulenc	WCEUR	B
Taïfi rosovy	MFEAS	Rs
Sauterne blanc (Naugé)	WCEUR	B
Cornichon blanc (non identified)	WCEUR	B
Djandjal kara	MFEAS	N
Fahri kalamak	MFEAS	nd
Shtur angur	RUUK	Rg
Petit Manseng	WCEUR	B
Kontegalo	BALK	B
Kotsifali	BALK	N
Limnio	BALK	N
Henab turki	EMCA	Rg
Mandilaria	BALK	N
Taschly	RUUK	B
Negru de Causani	RUUK	N
San Lorenzo	ITAP	N
Plant de Vic 98-N-3	IBER	N
Fortunato	IBER	B
Prieto picudo	IBER	N
Canella	ITAP	nd
Carina (Australie)	NEWO	N
Deckrot	WCEUR	N
Domina	WCEUR	N
Golodan	MFEAS	B
Kara oglan faux	EMCA	B
Korza erevani	EMCA	B
Lumassina	ITAP	B
Matrassa blanc faux	RUUK	B-Rs
Nassau	RUUK	B
Asma	RUUK	N
Osteiner	WCEUR	B
Riesling bleu	WCEUR	N
Reine des Vignes	BALK	B
Genovèse	WCEUR	B
Brachetto	ITAP	N
Dolcetto	ITAP	N
Riminèse	ITAP	B
Verdea	ITAP	B
Croatina	ITAP	N
Ciliegiolo	ITAP	N
Bombino bianco	ITAP	B
Merseguera	IBER	B
Amaral	IBER	N
Baga	IBER	N
Steinschiller weisser	BALK	B
Wildbacher blau	WCEUR	N
Beregi rozsas	BALK	Rs
Prokupac	BALK	N
Savvatiano	BALK	B
Black monukka	NEWO	N
Plavina crna	BALK	N
Agourane	MAGH	B
Jaen blanco	IBER	B
Blanc de Rhafsaï	MAGH	B
Lambrusco Maestri	ITAP	N
Askéri	EMCA	B
Plant du Maroc E	MAGH	N
Louali	MAGH	B
Agadaï	RUUK	B
Odjaleschi	EMCA	N
Kouroupitsa	BALK	N-Rg
Ladikino	BALK	N-Rg
Peygamber üzümü	EMCA	B
Falanghina	ITAP	B
Vermentino nero	ITAP	N
Torrontès riojano	NEWO	B
Varnenska Gimza	BALK	N
Voskeat	EMCA	B
Argant	WCEUR	N
Béclan	WCEUR	N
Clairette	WCEUR	B
Datal	WCEUR	B
Tarrango	NEWO	N
Ak ouzioum tagapskii	RUUK	B
Ora	WCEUR	B
Achlamiche	EMCA	B
Estaca saouma	WCEUR	N
Blanc Auba	WCEUR	B
Lauzet	WCEUR	B
Muscat à petits grains blancs	BALK	B
Dattier de Beyrouth	EMCA	B
Valenci blanco	IBER	B
Muscat d'Eisenstadt	WCEUR	N
Bicane	nd	B
Ahmeur bou Ahmeur	MAGH	Rg
Black Morocco	MAGH	N
Gros Colman	RUUK	N
Genk Uzum	EMCA	B
Ouliven	WCEUR	N
Bayadi de Syrie	EMCA	B
Dongine	WCEUR	B
Assuretuli sitavi	EMCA	nd
Kharistvala meskhuri	EMCA	B
Muradouli	EMCA	B
Institutis grozelmtevana	EMCA	B
Mtsklarta	EMCA	N
Borchalo	EMCA	nd
Adreuli tetri	EMCA	B
Adreuli skelkana	EMCA	B
Muradouli 3	EMCA	nd
Silvestris CA 10.1	IBER	N
Alicantí	IBER	B
Fernandella	IBER	N
Plant droit	WCEUR	N
Gateta	IBER	N
Breval negro	IBER	N
Redondal	IBER	B
Cuelga	IBER	B
Cayetana blanca	IBER	B
Tortozon	IBER	B
Rojal negro	IBER	N
Bastrardo blanco	IBER	B
Vital	IBER	B
Rabo d'ovelha	IBER	B
Agua santa	IBER	N
Camarate	IBER	N
Cornifesto	IBER	N
Donzelinho tinto	IBER	N
Mureto	IBER	N
Corazón de cabrito	IBER	B
Cañocazo	IBER	B
Castillo de arcos	IBER	B
Pedro Luis	IBER	B
Dona Maria	IBER	B
Jaoumet	WCEUR	B
Fondo de Orza	IBER	B
El Gouz	MAGH	B
Catalanesca	ITAP	B
Aleático	ITAP	N
Chaouch rose	EMCA	Rs
Manteudo	IBER	B
Luisa blanca	IBER	B
Aledo real	IBER	B
Almeria nera	nd	N
